seed,dir,rmse_3d_cm,max_3d_cm,rope_L0,rope_L1,rope_L2
1,outputs/monte_carlo/seed_001,24.46756633780011,79.07868627378609,0.993902,1.154743,0.951996
2,outputs/monte_carlo/seed_002,21.427280694491362,81.15258962112065,1.017629,0.941396,1.008646
3,outputs/monte_carlo/seed_003,22.736245648128133,76.78230613849848,0.919265,1.077647,0.96563
4,outputs/monte_carlo/seed_004,24.28351519452003,84.46111120163104,1.062945,1.130131,0.931867
5,outputs/monte_carlo/seed_005,22.98725033415174,79.73130417648078,0.935706,1.082998,1.006286
6,outputs/monte_carlo/seed_006,22.77040198098862,80.34126688310039,1.033819,1.060893,0.894973
7,outputs/monte_carlo/seed_007,26.849841404076624,84.86948216975075,1.081572,1.270962,0.998299
8,outputs/monte_carlo/seed_008,22.846037367232576,77.71647102624529,1.007393,1.065851,0.877171
9,outputs/monte_carlo/seed_009,26.204732082177518,86.22231588193712,0.988281,1.238536,1.013801
10,outputs/monte_carlo/seed_010,24.900710390675666,81.45275734805625,1.040184,1.144281,0.883868
11,outputs/monte_carlo/seed_011,21.987345465751538,77.70918379697392,0.970555,1.03142,1.008901
12,outputs/monte_carlo/seed_012,21.773481636558675,78.25752589714615,1.006585,1.019611,0.908914
13,outputs/monte_carlo/seed_013,23.871490208882385,81.86399761822106,1.015434,1.136217,1.009492
14,outputs/monte_carlo/seed_014,23.23365239548856,77.90279219190994,0.986586,1.100566,0.936354
15,outputs/monte_carlo/seed_015,24.48403133062314,78.96176805035232,0.957391,1.154102,0.957313
